"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13"
POLR2J2,6.840781369,5.542066357,7.135076884,5.563232043,7.685483575,5.508621133,7.31518525,7.334880864,5.47409146,5.862035995,8.699704266,8.876655847,10.29370504
HSH2D,2.317438495,2.377296826,2.365365023,2.365365023,2.495203328,3.541171734,3.848386825,5.078186997,2.643518821,2.495203328,2.495203328,2.495203328,2.260789754
TRNT1,8.411044977,8.538826175,6.832870117,8.207433972,7.548056762,8.488339285,7.867579945,8.091705317,6.827464134,6.307711843,6.78542191,6.795024617,7.220412747
TMEM163,6.474878936,9.477234011,9.251899009,9.271020483,9.883844812,9.367161418,9.340301315,8.436927694,9.282269852,8.193294858,7.512145221,7.200262519,5.768380268
ARHGAP5,7.975416615,7.947981595,7.269813233,8.17188826,6.714934032,8.431498823,7.85974716,7.678507236,8.093802021,7.176943941,6.361072378,6.328873827,8.466428524
ARSG,6.104836749,6.24489974,6.350393363,6.358489746,4.521361767,5.869436079,5.770465769,5.752535642,5.614145909,3.886539179,5.016976805,4.3875698,4.073939894
ZNF626,6.405716817,6.060768122,4.193710179,6.016136341,6.453675793,6.159586315,6.035229399,5.524058096,6.562578417,5.536781881,4.193710179,4.090103915,5.41254754
PHC3,5.641473236,5.931189509,5.952034274,5.968646697,5.649555256,5.621233702,5.290279689,4.95553761,4.730196944,3.016391319,4.474096827,4.400860237,5.909084375
NAV3,5.125737077,4.653612043,3.737354097,4.707059476,3.857593142,4.327545427,4.141611988,3.754641889,3.899727819,4.116677766,3.14027045,2.822575425,3.857593142
C5orf22,4.119411773,4.672992183,2.752568301,3.427692762,2.944203345,4.8235929,3.269453031,3.993451678,2.636537606,2.833515016,2.566609312,2.465289449,2.465289449
FLCN,6.986798325,7.290485645,7.630530683,8.413566604,6.940386076,6.785012145,7.97825592,7.271526937,7.438622401,7.814968811,5.990936739,8.013751964,8.959264733
SLC9A7,6.502660418,6.596504722,5.740746403,5.594162338,5.714926973,6.79076607,6.938615541,6.256884389,7.372159449,5.677229998,6.922980623,5.656798813,6.256884389
RFX6,2.240090673,2.240090673,2.240090673,2.240090673,2.240090673,2.240090673,2.240090673,2.28740974,2.240090673,2.240090673,2.240090673,2.240090673,2.241253258
USP28,2.285850345,2.4091674,2.240090673,2.680799498,2.34533385,2.497848394,3.171183713,2.736431119,3.581123859,2.313236811,2.332313828,2.682581017,2.928605007
SENP8,6.137565553,4.966529449,3.037924286,4.934092216,3.974394028,5.778802406,5.535622456,6.330783365,5.043893011,3.974394028,3.732619038,2.628703686,3.934795781
CASKIN1,4.313088527,5.184717137,5.694169202,5.502770472,6.099948069,3.858782227,6.099948069,5.410665166,6.099948069,5.604580254,7.014893308,6.364074488,6.574902989
CACNA2D4,2.240090673,2.240090673,2.240090673,2.240090673,2.240090673,2.240090673,2.240090673,2.240090673,2.240090673,2.240090673,2.240090673,2.240090673,2.240090673
ARL11,3.501082336,2.645760406,2.240090673,3.391819371,3.391819371,3.391819371,4.26948405,3.848750213,4.194935223,2.529606045,2.256469552,2.783524791,3.391819371
